date,daily_quantity_실리콘_계란찜기(소),daily_quantity_실리콘_뒤짐개,daily_quantity_실리콘_볶음주걱,daily_quantity_내열장갑,daily_quantity_실리콘_계란찜기(대),daily_quantity_실리콘_도마(대),daily_quantity_실리콘_냄비잡이,daily_quantity_실리콘_스테인리스집게(소),daily_quantity_오픈수납함,daily_quantity_실리콘_계란찜기(중),daily_quantity_실리콘_도마(중),daily_quantity_실리콘_멀티스푼,daily_quantity_실리콘_비누받침,daily_quantity_실리콘_스테인리스집게(대),daily_quantity_실리콘_다용도 오일브러쉬,daily_quantity_실리콘_덮개세트_샤크
2022-03-11 0:00,0,10,10,0,0,20,0,0,20,0,0,0,0,0,0,0
2022-03-12 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-13 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-14 0:00,0,0,0,0,0,0,0,0,240,0,0,15,0,40,0,0
2022-03-15 0:00,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
2022-03-16 0:00,0,0,0,0,0,6,0,3,0,0,6,0,0,5,0,0
2022-03-17 0:00,0,40,40,15,0,6,0,0,0,0,0,0,0,0,0,0
2022-03-18 0:00,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2022-03-19 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-20 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-21 0:00,0,0,0,0,0,0,0,0,276,0,0,0,0,21,0,0
2022-03-22 0:00,0,400,0,0,48,0,0,0,0,60,120,0,0,0,0,0
2022-03-23 0:00,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
2022-03-24 0:00,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0
2022-03-25 0:00,0,0,0,0,0,0,0,0,2,8,23,40,0,0,0,0
2022-03-26 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-27 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-28 0:00,0,40,40,0,0,0,0,0,26,0,0,40,0,0,0,0
2022-03-29 0:00,4,10,10,0,4,0,0,0,6,4,0,0,0,6,0,10
2022-03-30 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-31 0:00,10,0,0,0,0,0,0,2,546,4,1,0,0,8,0,0
2022-04-01 0:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-04-02 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-03 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-04 0:00,0,0,0,60,3,0,0,0,15,0,0,0,0,80,0,1
2022-04-05 0:00,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,30
2022-04-06 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-07 0:00,0,0,0,0,0,0,40,0,140,0,0,0,0,0,0,0
2022-04-08 0:00,0,190,100,0,0,20,12,0,2,0,20,30,0,5,0,0
2022-04-09 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-10 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-11 0:00,0,0,0,0,0,0,0,0,13,0,0,0,0,20,0,0
2022-04-12 0:00,3,0,10,0,0,0,0,41,6,3,0,5,0,36,0,5
2022-04-13 0:00,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0
2022-04-14 0:00,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0
2022-04-15 0:00,0,0,0,0,0,0,0,36,4,0,0,0,0,36,0,0
2022-04-16 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-17 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-18 0:00,0,0,0,0,0,0,0,0,228,0,0,0,0,100,0,0
2022-04-19 0:00,0,0,0,80,0,40,0,0,-6,0,0,0,0,0,0,0
2022-04-20 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-21 0:00,0,0,40,0,0,20,40,0,0,0,0,0,0,0,0,0
2022-04-22 0:00,0,0,0,0,0,20,0,36,0,0,0,0,0,36,0,0
2022-04-23 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-24 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-25 0:00,0,10,10,0,0,0,0,1,150,0,0,20,0,41,0,0
2022-04-26 0:00,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
2022-04-27 0:00,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1
2022-04-28 0:00,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
2022-04-29 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-30 0:00,8,0,0,0,0,0,4,1,426,5,0,0,0,5,0,1
2022-05-01 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-02 0:00,6,10,10,0,4,6,0,0,2,3,0,0,0,0,0,0
2022-05-03 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-04 0:00,0,60,0,0,0,0,0,0,0,0,0,20,0,0,0,0
2022-05-05 0:00,0,60,60,0,0,0,40,36,0,0,0,0,0,36,0,0
2022-05-06 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-07 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-08 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-09 0:00,0,0,0,0,1,0,0,0,93,0,0,0,0,0,0,0
2022-05-10 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-11 0:00,0,0,15,0,0,0,0,5,7,0,0,0,0,0,0,0
2022-05-12 0:00,4,0,3,0,2,0,0,0,0,0,20,5,0,0,0,0
2022-05-13 0:00,4,10,50,15,0,0,20,0,302,3,0,6,0,0,0,0
2022-05-14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-15 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-16 0:00,0,0,0,0,1,0,0,0,161,1,0,0,0,60,0,0
2022-05-17 0:00,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
2022-05-18 0:00,0,10,0,0,0,0,10,0,3,0,0,6,0,0,0,0
2022-05-19 0:00,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5
2022-05-20 0:00,0,0,0,0,0,0,0,0,12,0,0,15,0,0,0,0
2022-05-21 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-22 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-23 0:00,0,0,0,0,0,20,0,0,4,0,0,0,0,1,0,0
2022-05-24 0:00,0,10,0,0,0,20,0,0,2,2,10,16,0,5,0,0
2022-05-25 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-26 0:00,0,40,0,50,0,0,0,36,0,0,0,0,0,36,0,15
2022-05-27 0:00,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
2022-05-28 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-29 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-30 0:00,0,0,0,0,0,0,0,0,74,0,0,0,0,60,0,0
2022-05-31 0:00,4,0,0,0,0,0,0,0,364,4,0,1,0,1,0,0
2022-06-01 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-02 0:00,0,0,0,0,0,0,0,0,12,0,15,0,0,0,0,0
2022-06-03 0:00,0,0,60,0,0,7,0,36,0,0,15,0,0,36,0,0
2022-06-04 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-05 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-06 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-07 0:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2022-06-08 0:00,0,20,0,2,0,0,20,10,0,0,10,0,0,15,0,0
2022-06-09 0:00,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0
2022-06-10 0:00,12,20,50,0,12,0,0,0,7,12,0,40,0,0,0,0
2022-06-11 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-12 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-13 0:00,0,0,20,0,0,1,0,0,8,0,15,0,0,0,0,0
2022-06-14 0:00,0,30,0,0,0,0,26,36,0,0,0,60,0,36,0,0
2022-06-15 0:00,0,0,10,45,0,12,0,0,588,0,0,0,0,0,0,0
2022-06-16 0:00,0,0,0,0,0,5,40,0,144,2,0,0,0,7,0,0
2022-06-17 0:00,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
